Advertiser_ID,Previous_Bid_Amount,Previous_Slot_ID,Previous_Sale_Status,Remaining_Items
1,65,3,1,1
1,99,1,1,1
1,87,3,1,1
1,71,2,1,1
1,80,2,1,1
1,55,3,0,2
1,93,2,0,2
1,91,2,0,2
1,75,2,1,1
1,74,3,1,1
1,74,1,1,1
1,85,3,1,1
1,74,1,0,2
1,75,3,1,1
1,53,3,1,1
1,95,2,0,2
1,56,3,1,1
1,98,3,1,1
1,61,1,1,1
1,77,3,1,1
2,47,3,0,2
2,60,3,0,2
2,86,3,1,1
2,87,1,0,2
2,88,2,0,2
2,69,2,0,2
2,45,2,0,2
2,76,3,0,2
2,85,2,0,2
2,99,3,1,1
2,60,2,0,2
2,42,3,0,2
2,70,3,0,2
2,79,1,1,1
2,71,2,0,2
2,41,3,0,2
2,65,2,0,2
2,48,1,0,2
2,78,2,0,2
2,65,2,1,1
3,63,1,1,1
3,46,3,0,2
3,59,1,1,1
3,85,1,1,1
3,90,2,1,1
3,73,2,0,2
3,61,3,0,2
3,61,1,0,2
3,88,1,1,1
3,54,3,0,2
3,76,3,0,2
3,99,2,0,2
3,78,1,0,2
3,71,1,0,2
3,74,1,1,1
3,55,1,0,2
3,81,3,1,1
3,95,1,0,2
3,94,2,1,1
3,92,2,0,2
4,51,2,1,0
4,97,1,0,1
4,71,3,0,1
4,79,3,0,1
4,55,3,0,1
4,44,1,0,1
4,42,3,0,1
4,90,1,1,0
4,68,2,1,0
4,86,1,0,1
4,91,2,0,1
4,65,2,0,1
4,78,3,1,0
4,69,1,0,1
4,49,3,0,1
4,73,1,0,1
4,97,1,0,1
4,40,2,0,1
4,43,1,1,0
4,94,2,1,0
5,71,3,0,2
5,51,2,0,2
5,72,3,0,2
5,82,1,0,2
5,40,3,0,2
5,82,2,1,1
5,51,1,0,2
5,90,2,0,2
5,56,2,1,1
5,65,1,1,1
5,73,3,1,1
5,43,1,0,2
5,84,2,0,2
5,75,1,0,2
5,96,3,1,1
5,48,3,0,2
5,88,2,0,2
5,57,1,0,2
5,63,2,0,2
5,76,3,0,2
6,52,2,0,2
6,80,3,0,2
6,59,3,1,1
6,52,2,1,1
6,75,3,0,2
6,58,3,1,1
6,67,2,0,2
6,91,1,1,1
6,55,2,1,1
6,51,1,0,2
6,60,3,0,2
6,55,3,1,1
6,92,3,0,2
6,53,1,1,1
6,74,2,0,2
6,50,3,0,2
6,48,1,0,2
6,56,2,1,1
6,52,1,1,1
6,89,3,0,2
7,44,2,1,0
7,58,2,1,0
7,40,1,0,1
7,46,1,0,1
7,75,3,0,1
7,58,2,0,1
7,66,1,0,1
7,78,3,1,0
7,89,1,0,1
7,59,1,0,1
7,80,3,0,1
7,52,1,0,1
7,99,1,1,0
7,72,2,1,0
7,97,2,0,1
7,84,2,0,1
7,93,3,0,1
7,76,3,0,1
7,59,3,0,1
7,80,1,0,1
8,70,1,0,2
8,93,3,0,2
8,96,2,1,1
8,71,1,0,2
8,51,3,0,2
8,47,1,1,1
8,65,2,0,2
8,89,1,1,1
8,80,3,0,2
8,93,2,1,1
8,92,2,0,2
8,87,2,1,1
8,74,3,0,2
8,44,2,0,2
8,49,2,0,2
8,98,3,1,1
8,95,3,0,2
8,57,2,0,2
8,50,3,0,2
8,64,1,0,2
9,88,1,1,0
9,80,2,1,0
9,60,3,1,0
9,67,2,1,0
9,44,2,0,1
9,62,1,0,1
9,49,1,1,0
9,60,2,1,0
9,40,3,1,0
9,43,1,0,1
9,71,1,1,0
9,47,3,0,1
9,73,3,0,1
9,98,2,0,1
9,93,2,1,0
9,69,2,1,0
9,87,2,1,0
9,76,3,0,1
9,50,3,0,1
9,99,1,1,0
10,73,3,0,2
10,66,3,0,2
10,91,3,0,2
10,63,3,0,2
10,94,3,0,2
10,44,2,1,1
10,95,2,0,2
10,99,2,0,2
10,73,3,0,2
10,52,1,0,2
10,50,3,0,2
10,62,1,0,2
10,50,3,0,2
10,43,1,0,2
10,64,3,0,2
10,66,2,0,2
10,97,3,1,1
10,44,3,0,2
10,61,3,0,2
10,44,2,0,2
